"UUID","URL","Dateiname","Kategorie","Titel","Urheber","Entstehungszeitraum ","Koordninaten","Gewählt/Angenommen","Name, Vorname","politische Zuordnung","Stimmberechtigte","Stimmzettel JA","Stimmzettel NEIN","Stimmzettel UNGUELTIG","Stimmzettel LEER","Stimmzettel TOTAL","Thema","Format","Verwertungsrecht","Unternehmen/Publisher"
"99f43625aca24cedbd3ef812e6e4093f","https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/99f43625aca24cedbd3ef812e6e4093f","Unterl_Wahlen-u-Abstimmungen-Uster-Bezirksschulpflege_19810405","Wahlunterlage","Wahlzettel für die Erneuerungswahl der Bezirksschulpflege, Erster Wahlgang am 5. April 1981","Bezirk Uster",05.04.1981,,,,,,,,,,,"Bildung","Adobe PDF 1.6","https://creativecommons.org/publicdomain/zero/1.0/deed.de","Stadtarchiv Uster, (ISIL: CH-000629-9) "
"6ea992f873c24bec9b6c8295cf2e3255","https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/6ea992f873c24bec9b6c8295cf2e3255","Unterl_Wahlen-u-Abstimmungen-BezirkUster-Wahlzettel-Bezirksschulpflege_19890305","Wahlunterlage","Wahlzettel für die Erneuerungswahl der Bezirksschulpflege, Erster Wahlgang am 5. März 1989","Bezirk Uster",05.03.1989,,,,,,,,,,,"Verwaltung","Adobe PDF 1.6","https://creativecommons.org/publicdomain/zero/1.0/deed.de","Stadtarchiv Uster, (ISIL: CH-000629-9) "
"a11f8d771ff14615813d16cb76ad2a37","https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/a11f8d771ff14615813d16cb76ad2a37","Unterl_Wahlen-u-Abstimmungen-Uster-Beiblatt-Ersatzwahl-Bezirksgericht_20100613.pdf","Wahlunterlage","Beiblatt für die Ersatzwahl eines vollamtlichen Mitgliedes des Bezirksgerichtes Uster für den Rest der Amtsdauer 2008-2014","Bezirk Uster",13.06.2010,,,,,,,,,,,"Verwaltung","Adobe PDF 1.6","https://creativecommons.org/publicdomain/zero/1.0/deed.de","Stadtarchiv Uster, (ISIL: CH-000629-9) "
"6b32134d96ea4d92989de730f95d85df","https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/6b32134d96ea4d92989de730f95d85df","Unterl_Wahlen-u-Abstimmungen-CVP_19860202","Wahlunterlage","CVP - Farben bekennen","CVP",02.02.1986,,,,"CVP - Christlichdemokratische Partei",,,,,,,"Verwaltung","Adobe PDF 1.6","https://creativecommons.org/publicdomain/zero/1.0/deed.de","Stadtarchiv Uster, (ISIL: CH-000629-9) "
"6b32134d96ea4d92989de730f95d85df","https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/6b32134d96ea4d92989de730f95d85df","Unterl_Wahlen-u-Abstimmungen-DSP-Gemeinderat_19860202","Wahlunterlage","DSP Demokratisch-soziale Partei und Gewerkschafter","DSP",02.02.1986,,,,"CVP - Christlichdemokratische Partei",,,,,,,"Verwaltung","Adobe PDF 1.6","https://creativecommons.org/publicdomain/zero/1.0/deed.de","Stadtarchiv Uster, (ISIL: CH-000629-9) "
"efa6955145ab4a8c935c9bc9fb2b6bac","https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/efa6955145ab4a8c935c9bc9fb2b6bac","Prot_Wahlen-u-Abstimmungen-Uster_19780402","Wahlprotokoll","Wahl der Rechnungsprüfungskommission für die Amtsdauer 1978/82","Evangelisch-Reformierte Kirchgemeinde Uster",02.04.1978,,"Ja","Lehmann-Jucker, Paul",,8'493,2'929,,367,3,2'962,"Religion","Adobe PDF 1.6","https://creativecommons.org/publicdomain/zero/1.0/deed.de","Stadtarchiv Uster, (ISIL: CH-000629-9) "
"efa6955145ab4a8c935c9bc9fb2b6bac","https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/efa6955145ab4a8c935c9bc9fb2b6bac","Prot_Wahlen-u-Abstimmungen-Uster_19780402","Wahlprotokoll","Wahl der Rechnungsprüfungskommission für die Amtsdauer 1978/83","Evangelisch-Reformierte Kirchgemeinde Uster",02.04.1978,,"Ja","Eichenberger, Rico",,8'493,2'909,,367,3,2'962,"Religion","Adobe PDF 1.6","https://creativecommons.org/publicdomain/zero/1.0/deed.de","Stadtarchiv Uster, (ISIL: CH-000629-9) "
"efa6955145ab4a8c935c9bc9fb2b6bac","https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/efa6955145ab4a8c935c9bc9fb2b6bac","Prot_Wahlen-u-Abstimmungen-Uster_19780402","Wahlprotokoll","Wahl der Rechnungsprüfungskommission für die Amtsdauer 1978/84","Evangelisch-Reformierte Kirchgemeinde Uster",02.04.1978,,"Ja","Schleusser, Paul",,8'493,2'899,,367,3,2'962,"Religion","Adobe PDF 1.6","https://creativecommons.org/publicdomain/zero/1.0/deed.de","Stadtarchiv Uster, (ISIL: CH-000629-9) "
"efa6955145ab4a8c935c9bc9fb2b6bac","https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/efa6955145ab4a8c935c9bc9fb2b6bac","Prot_Wahlen-u-Abstimmungen-Uster_19780402","Wahlprotokoll","Wahl der Rechnungsprüfungskommission für die Amtsdauer 1978/85","Evangelisch-Reformierte Kirchgemeinde Uster",02.04.1978,,"Ja","Reiser, Hanni",,8'493,2'862,,367,3,2'962,"Religion","Adobe PDF 1.6","https://creativecommons.org/publicdomain/zero/1.0/deed.de","Stadtarchiv Uster, (ISIL: CH-000629-9) "
"efa6955145ab4a8c935c9bc9fb2b6bac","https://mobile.cmistar.ch/webclients/stadtarchivuster/#/content/efa6955145ab4a8c935c9bc9fb2b6bac","Prot_Wahlen-u-Abstimmungen-Uster_19780402","Wahlprotokoll","Wahl der Rechnungsprüfungskommission für die Amtsdauer 1978/86","Evangelisch-Reformierte Kirchgemeinde Uster",02.04.1978,,"Ja","Felix, Markus",,8'493,2'837,,367,3,2'962,"Religion","Adobe PDF 1.6","https://creativecommons.org/publicdomain/zero/1.0/deed.de","Stadtarchiv Uster, (ISIL: CH-000629-9) "
